tweet,sentiment
орха #зейналов объясн убийств щербаков самооборон #news #новости #бирюлево,2
во врем допрос #зейналов заб русск язык #news #новости #бирюлево #щербаков,3
прокуратур росс взял за #фмс #news #снг #мигранты #содружество,3
на рынк #садовод задержа порядк тысяч мигрант #news #novosti #новости #снг #мигранты,2
на московск рынк #садовод нашл контрафактн джинс и дух #news #новости #novosti #мигранты #москва,3
на московск рынк #садовод нача антимигрантск рейд #news #novosti #новости #москва #мигранты,3
#путин призва российск мусульма помога мигрант с адаптац #news #новости #novosti #мигранты,1
#фмс создаст спеццентр для мигрант #news #новости #мигранты #снг,2
#собянин предлож взима с мигрант плат за въезд в росс #news #novosti #мигранты #снг,2
блогер рассказа поч в #бирюлево нет профилактик преступлен #news #novosti #москва #мигранты,3
на юг москв полиц задержа почт мигрант #news #новости #снг #мигранты #москва,2
#собянин рассказа о причин погром в западн #бирюлево #news #новости #москва #мигранты #снг,2
в #бирюлево уб гражданин узбекиста #news #новости #жесть #узбекистан #снг #мигранты,3
в москв задержа разб бит чуж машин #мигранты #news #novosti #москва #жесть,2
полиц москв назва им предполага убийц егор щербаков #news #щербаков #мигранты #бирюлево,2
#бастрыкин приеха на овощебаз в #бирюлево #news #новости #novosti #мигранты,2
глав московск полиц увол начальник #овд западн #бирюлево #news #щербаков #novosti #мигранты,2
омбудсм лукин поддержа введен визов режим со стран #снг #news #новости #бирюлево #содружество #мигранты,2
#мвд объясн драк мигрант на северовосток москв конфликт с работодател #news #бирюлево #мигранты,2
#бирюлево #пражская продолжа винтаж  ,3
#бирюлево #пражская трансляц  ,2
видеотрансляц с улиц #бирюлево,2
омон охраня крупн в европ покровск овощн баз с сотн мигрант жител #бирюлево протест  ,2
беспорядк в бирюлев  виде с нескольк камер #бирюлево #москва,3
предлага освобод овощебаз в #бирюлево отда под офис  international бесплатн,1
#бирюлево  #ru,2
идут к овощебаз #бирюлево   itv,2
прям эфир из #бирюлево #live itv,2
 уб русск мирза стал почетн гост открыт   в дагестан #бирюлево #волгоград,3
увол глав отдел фмс по юа москв е зам а такж начальник отделен #бирюлево,2
предполага убийц егор щербаков на то сам овощн баз в #бирюлево ,3
нача химк правд не #бирюлево  _ на мкад кавказц разб бит ,3
два москвич и жител подмосков стал фигурант дел о погром #бирюлево,2
госдум окруж полиц сто автозак омон бо #бирюлево,3
манежк то перекрыт спрос поч полицейск спецмероприят да изз #бирюлево же,3
штурм бирюз шокфот #бирюлево,3
больш год назад жител #бирюлево прос убра из район баз но им отказа,3
огогошеньк #бирюлево  _ оборот #овощебаза в ден составля миллиард рубл эт сам крупн баз в росс,3
#винтаж #ягуар #телочка #бирюлево вчерашн,3
на уж закрыт овощн баз в #бирюлево задержа почт человек мигрант,2
рсн задержа человек похож на подозрева в убийств егор щебаков #бирюлево,2
чувак за сек до получен пиздюл из бирюз ег выпуст но назад уж не впуст #бирюлево,3
переворачиван газел в #бирюлево,3
сегодн в #бирюлево один местн жител назва эт овощебаз черкизон говор там все черн и можн наркот доста,3
а вы знает что через два дня курбанбайр ахахах #бирюлево,3
был бы прикольн есл бы сегодн в #бирюлево приеха колокольц я дума ем бы сказа тож сам что и на манежк в пиздабол,3
омон сегодн закидыва мусорк а такж камн палк и бутылк #народныйсход #бирюлево,3
каратист бьют движущ огнеопасн грузовик #народныйсход #бирюлево,3
а когд ворот овощебаз отрыва тож чут сво камн не зашибл в общ какт так #народныйсход #бирюлево,3
а вечер кстат когд когот свинт там вдогонк стекля бутылк кинул был бы пиздец есл бы в свинчен попа #бирюлево,3
омоновц разгоня участник сход дубинк #народныйсход #бирюлево,3
а такж окровавлен мужчин #народныйсход #бирюлево,3
снима вот мусор сегодн извин #народныйсход #бирюлево,3
под конец задержива кстат в основн пьян один там чтот зажеч успел #народныйсход #бирюлево,2
вот эт я уста тольк ед отсюд на автобус тут разговор что ег полтор час ждал движен перекрыва #народныйсход #бирюлево,3
десятк задержа #народныйсход #бирюлево,3
говор девушк винт с применен дубинок #народныйсход #бирюлево,3
пар человек забра щас выталкива толп #народныйсход #бирюлево,3
винтаж с дубинк #народныйсход #бирюлево,3
толп потихонечк рассасыва #народныйсход #бирюлево,1
подвип нич не лома мы же не хач не беспредельщик #народныйсход #бирюлево,1
омон зашел на баз я так понима эт побед гражда задержан нет #народныйсход #бирюлево,1
вышл с баз через оцеплен омон аплодисмент #народныйсход #бирюлево сканд росс омон полн,1
винтаж снов нет автобус с омон мим проеха и все щас по баз кудат ид я хз #народныйсход #бирюлево,1
полиц приеха на баз #народныйсход #бирюлево,2
омон и полиц едет #народныйсход #бирюлево,2
омон и полиц нет #народныйсход #бирюлево,2
на баз ник автомат с кол взлома #народныйсход #бирюлево,3
прошл на баз нача погр #народныйсход #бирюлево,3
полетел камн за оград #народныйсход #бирюлево,3
открыва скандир у ворот #народныйсход #бирюлево,3
взял камн бутылк #народныйсход #бирюлево,3
ворот закрыт щас штурм будет поход #народныйсход #бирюлево,3
подход к баз #народныйсход #бирюлево,2
уход с проезж част ид нах я теб не вер #народныйсход #бирюлево винтаж нет пок,3
автозак едет щас винтаж будет #народныйсход #бирюлево,3
перекр ещ одн дорог #народныйсход #бирюлево,2
толп идет бьет машин #народныйсход #бирюлево,3
полиц наблюда и практическ провожа толп от тц #народныйсход #бирюлево,2
#народныйсход #бирюлево,2
молн толп пошл на овощн баз #народныйсход #бирюлево,2
граждан активн руга собянин и полиц котор покрыва приезж #народныйсход #бирюлево,3
ктот в толп у овощебаз полиц с автомат #народныйсход #бирюлево,2
а как стат вандализм за помойк шут в толп видим не зна про болотн дел #народныйсход #бирюлево,3
щас все на овощн баз поход пойдут в толп призыв #народныйсход #бирюлево эт баз оплот приезж,3
ког он прос отпуст я хз #народныйсход #бирюлево щас врод все тих,1
столкновен был ал ма дубинк вот эт все #народныйсход #бирюлево,3
один за всех и все за одн #народныйсход #бирюлево,1
мусорн бак больш перекр дорог кида палк и ид #народныйсход #бирюлево,3
полиц прос не кида не поддава на проаокац и разойт по дом #народныйсход #бирюлево,1
грузовик перевернул посред улиц #народныйсход #бирюлево,3
кида камн урн с омоновц снял шлем #народныйсход #бирюлево,3
у омоновц лиц в кров #народныйсход #бирюлево,3
у мужчин кров на лиц #народныйсход #бирюлево,3
перекр дорог не пуска автозак кричат выпуска омон разгоня с дубинк #народныйсход #бирюлево,3
молн дубинк в ход пошл #народныйсход #бирюлево,3
граждан потолка с омон врод нич страшн #народныйсход #бирюлево,1
винтаж прос освобод площад #народныйсход #бирюлево,3
росс для русск москв для москвич #народныйсход #бирюлево свернул ноут побежа дальш снима,3
добав фот изнутр тц #народныйсход #бирюлево,2
скандир закр баз #народныйсход #бирюлево,3
скандир один за всех и все за одн вход в тц оцеп омон #народныйсход #бирюлево,3
националист разгром тц в бирюлев фот #народныйсход #бирюлево,3
врод потуш у тц толп народ все смотр #народныйсход #бирюлево,1
огнетушител чтот тушат #народныйсход #бирюлево,2
разбит вход в тц нерусск охранник сопротивля до последн #народныйсход #бирюлево,3
разбитыц вход кондиционер дым #народныйсход #бирюлево,3
вход в тц закр он проб все разб велик и не тольк разб стекл приеха омон #народныйсход #бирюлево,3
разб витрин вопва внутр тут пиздец #народныйсход #бирюлево,3
изтц на тачк в испуг уеха дво иностранц #народныйсход #бирюлево,3
#народныйсход #бирюлево,2
петард взорва толп идет в тц бирюз сканлиру русск вперед #народныйсход #бирюлево,3
толп кудат пошл кто то крикнул зачища район #народныйсход #бирюлево обсужда тут всерашн перекрыт дорог,3
нам не глав управ а собянин нуж в толп #народныйсход #бирюлево,3
гоаор в толп глав управ #народныйсход #бирюлево,2
так толп кудат пошл #народныйсход #бирюлево,2
бирюлев не кавказ #народныйсход #бирюлево,3
русск вперед и выселя скандир #народныйсход #бирюлево,3
#народныйсход #бирюлево,2
беловпоткин в сам толп оказыва #народныйсход #бирюлево,2
тут нача листовк раздавт как то #народныйсход #бирюлево,2
анук давайк уебыва отсюд росс для русс москв для москвич аплодисмент #народныйсход #бирюлево,3
тут мам с коляск пенсионер и тд сход националист эт назва нельз #народныйсход #бирюлево,1
человек тут наверн #народныйсход #бирюлево может и больш,2
хот одн участков покаж нам в глаз #народныйсход #бирюлево,3
#народныйсход #бирюлево,2
люд обща кричат и хлопа услыша выгор отсюд хач и закройт овощн баз полиц наблюда #народныйсход #бирюлево,2
мамонт и цвет #народныйсход #бирюлево,2
виж аркад мамонтов #народныйсход #бирюлево,2
ог тут народ #народныйсход #бирюлево,1
на мест закрыт сельскохозяйствен точек постро торгов центр и парковк #бирюлево,2
за помощ в поимк убийц егор щербаков полиц заплат миллион рубл #щербаков #зейналов #бирюлево,2
#жириновский не исключа что теракт в волгоград мест за #бирюлево #волгоград #теракт,3
александр #пыпин сам популярн район сред мигрант в москв #бирюлево #измайлово #гольяново #москва,2
мат чурилов прос власт росс разобра в дел #бирюлево #чурилов,2
тимур #мусикаев активн участник беспорядк в #бирюлево задержа до декабр год,2
адвокат орха зейналов #чикатило тож защища в суд #зейналов #бирюлево,3
в бак счита неадекватн действ росс в отношен орха зейналов #бирюлево #зейналов,3
втор участник беспорядк на юг москв тимур мусикаев арестова на месяц #бирюлево #мусикаев,2
орха #зейналов не соглас в суд с обвинен в убийств и тепер отрица сво вин #бирюлево,2
орха зейналов защища в суд адвокат #бирюлево,2
суд орха #зейналов задержа до декабр год #бирюлево,2
орха зейналов привезл в суд ещ в утр #суд #зейналов #бирюлево,2
суд удовлетвор ходатайств магомед чурилов #суд #чурилов #бирюлево,2
отец орха зейналов я не вер что так могл случ #lifenews #зейналов #бирюлево,3
мат орха зейналов я поконч с соб есл сын осуд #зейналов #бирюлево,3
орха #зейналов доставл в зал суд #бирюлево,2
магомед #чурилов задержа на овощебаз в #бирюлево приб в зал суд по дел убийств зейналов москвич егор щербаков,2
мат убийц егор щербаков я поконч с соб есл сын осуд #бирюлево #зейналов,3
через пар минут прям эфир из суд где будет рассмотр вопрос об арест зейналов смотр на #lifenews #бирюлево,2
#срочно полиц задержа трет фигурант дел о погром в #бирюлево,2
сотрудник полиц задержа нелегальн мигрант на юг москв #бирюлево,2
#срочно сотрудник полиц задержа в район #бирюлево мигрант,2
сегодн суд определ судьб орха зейналов котор подозрева в убийств егор щербаков в #бирюлево,2
хозяев квартир в котор скрыва зейнал рассказа о происход #бирюлево,2
орхан зейналов гроз от до лет лишен свободн #бирюлево,3
#срочно в #бирюлево сильн изб мужчин и женщин азиатск внешност,3
алиасхаб #гаджиев я не знал убийц и на овощебаз ег не видел #бирюлево,2
руководств баз в #бирюлево подозрева в организац нелегальн миграц #новости,3
орха зейнал утвержда что защища и не хотел ник убива #бирюлево,1
серг собянин выраз соболезнован родн егор щербаков #щербаков #бирюлево #новости,3
возбужд уголовн дел на руководств за нов черемушк #новости #бирюлево #lifenews,3
#срочно задержа магомед чурил директор овощебаз виктор котелевск служб безопасн алескап гадж объявл в розыск #бирюлево,2
#срочно задержа председател совет директор за нов черемушк магомед чурил генеральн директор овощн баз в #бирюлево,2
овощебаз в #бирюлево продолжа работа снов ведет разгрузк фур,3
арендатор из #бирюлево переезжа в #хлебниково,2
официальн признан орха зейналов в убийств жител #бирюлево егор щербаков,3
орха #зейналов официальн призна в убийств жител #бирюлево егор щербаков #lifenews #новости,3
у пос хлебников произошел транспортн коллапс изз фур перееха из #бирюлевоскоро в прям эфир,3
#срочно чертановск суд останов работ овощебаз в #бирюлево за несоблюден санитарн норм,3
#срочно подозрева в убийств егор щербаков ран отсидел год за #дтп #бирюлево,3
#срочно подозрева в убийств егор щербаков уж имеет судим #бирюлево,3
на овощебаз в #бирюлево обнаруж возбудител туберкулез,3
у предполага убийц егор щербаков нет российск паспорт #бирюлево #зейналов,3
в на станц #метро пражск планир сбор сочувств егор щербаков #бирюлево,1
#срочно зейналов достав для дач показан в москв на вертолет #lifenews #бирюлево,2
#срочно предполага убийц егор щербаков орха зейнал задержа в коломн #бирюлево,2
на овощебаз в #бирюлево ищут оруд убийств егор щербаков,2
по слов знаком орха зейнал всегд нос с соб нож и пил до упад #убийство #бирюлево,3
арендатор бастрыкин мен выслуша и сказа что в течен ух дне #овощебаза будет закрыт #бирюлево,2
#срочно на овощебаз в #бирюлево приеха представител ск рф александр бастрыкин,2
назва перв фигурант уголовн дел по погром в #бирюлево,2
александр бастрыкин приб в западн #бирюлево через нескольк минут в эфир,2
последн раз орха зейналов видел в понедельник октябр окол в район #бирюлево,2
#срочно анатол якунин увол начальник овд западн #бирюлево,2
по слов знаком орха зейналов он вел себ неадекватн будуч в состоян алкогольн опьянен #бирюлево #lifenews,3
убийц егор щербаков опозна ег сосед по комнат #бирюлево,2
#эксклюзив в в эфир #lifenews знаком подозрева в убийств егор щербаковаподключа #бирюлево,2
рабоч групп обществен палат и #мосгордума обсуд ситуац в западн #бирюлево #lifenews #новости,2
кандальн овощн баз в #бирюлево закроют по требован роспотребнадзор,1
никола азар я бы попрос жител #бирюлево успоко и не меша полиц,2
эдуард лимон эт естествен что люд попыта поучаствова в событ в #бирюлево,2
на станц бирюлевотоварн собра местн жител и сотрудник полиц #бирюлево,2
#срочно на станц #бирюлево товарн собра местн жител и сотрудник полиц,2
каромат шарип трудов виз необходим мы потеря сотн тысяч таджикистанск гражда #бирюлево,3
виктор легавин коррупц у нас нет эт событ могл произойт в люб район #бирюлево,1
следствен комитет даст жестк оценк чиновник из #бирюлево #lifenews #новости,3
магомед талбо поч изз одн человек дела вывод о миллион найт ег и повес #бирюлево,3
магомед толбо полиц явля инициатор случ беспорядк #бирюлево,3
депутат госдум шамса сарал национальн проблем не уделя должн вниман #бирюлево,3
скор в эфир магомед толбо почетн президент за нов черемушк прокомментир ситуац в #бирюлево,2
в #бирюлево продолжа задержан #lifenews,3
полиц провод масштабн проверк в район #бирюлево,2
посл погром в бирюлев под страж оста участник беспорядк #бирюлево,2
#срочно человек задержа в западн #бирюлево на овощебаз нашл машин полн оруж,3
больш част задержа при беспорядк в #бирюлево был отпущ #lifenews,1
владимир шапошник у преступн нет национальн #бирюлево #lifenews,2
знаком егор щербаков сем егор прот массов беспорядк #москва #бирюлево,1
#жириновский десятилет вырабатыва негативн отношен к нацменьшинств #бирюлево,3
в район #бирюлево проход массов проверк документ #lifenews,2
окол полицейск приеха на овощебаз котор требова закр митинг #бирюлево,2
#срочно полицейск приб на овощебаз в бирюлев #бирюлево #lifenews,2
интерв с работник торгов центр бирюз смотр #lifenews #бирюлево,2
полиц информир родн убит в бирюлев о ход расследован #москва #бирюлево,2
задержа на юг москв будут допрош по дел о хулиганств #новости #бирюлево,2
вячесла гриб в так город как москв над в нескольк раз увелич количеств участков #бирюлево,2
посл беспорядк в западн #бирюлево в больниц обрат человек,2
полиц полност контролир ситуац в бирюлев план вулка отмен #бирюлево,1
что сейчас происход в #бирюлево смотр в эфир,2
полиц установл круг лиц причастн к убийств егор щербаков #бирюлево,2
конфликт в #бирюлево больш не наблюда,1
полиц взял под сво контрол ситуац в #бирюлево,1
фмс проверя овощебаз в #бирюлево недел назад и был выявл нарушител миграцион законодательств,2
по неподтвержден дан убийц егор щербаков явля торговец шаурм в район #бирюлево,2
макс шевченк прокомментирова сегодняшн событ в бирюлев нич не говор нам о том что полиц занима дел #бирюлево,3
пострада омоновец тольк в мо групп пострада тро сотрудник #бирюлево #lifenews #омон,3
помощник депутат госдум рамин #гасымов нужн профилактическ мер #бирюлево #москва,3
сотрудник омон ран при разгон беспорядк в #бирюлево #москва #омон,3
мы продолжа освеща событ в #бирюлево включа прям эфир прям сейчас,2
организац гражданск безопасн владимир #химаныч нужн огранич безвизов въезд в росс #россия #бирюлево #москва,3
министр владимир #колокольцев сво коллег есл вы не разберет эт сможет сдела ктот друг #бирюлево,3
бирюлев ден #birulevo #бирюлево,2
#бирюлево #birulevo,2
#бирюлево,2
 __  кто уб егор щербаков что случ в #бирюлево,3
задержан убийц егор щербаков #бирюлево,3
кадр задержан подозрева в убийств егор щербаков #бирюлево,2
в москвечеченск #омон подавля выступлен русск москвич дубинк #бирюлево,3
#бирюлево,2
кто уб егор щербаков что случ в #бирюлево,3
#бирюлево голос за визов реж со стран средн аз и закавказ проект,3
приятн видет покорежен мусор _ #бирюлево,1
#бирюлево,1
оукб #спартак в #бирюлево,2
 #бирюлево,2
#бирюлево,2
_ нов убийств в бирюлев протест продолжа очередн убийств русск кавказц в #бирюлево,3
#бирюлево #москва,3
#мониторингопрф #бирюлево  совещан с участ член #опрф с местн жител и префект юа рептил чешут грив,3
#мониторингопрф #бирюлево  совещан с участ член #опрф с местн жител и префект юа,2
чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #иркустк #томск #мурманск #североморск,3
чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #екатерибург #новосибирск #красноярск,3
чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #тула #тамбов #дождь #саратов #тверь,3
чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #ростов #питер #хабаровск #владивосток,3
чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #саратов #астрахань #дождь #самара #пенза,3
#бирюлево,2
омон окружа площадк перед тц бирюз прос люд разойт #бирюлево,2
в #бирюлево,2
доступн жил будет доступн тольк для полицейск #бирюлево,3
#бирюлево фот виде,2
#ff  #бирюлёво #бирюлево,2
инициативн групп в #бирюлево составля список требован к власт,2
бирюлев ввод танк сейчас в колв шт на ттквида в #бирюлево мчит,3
госдум окруж полиц сто автозак омон бо #бирюлево,3
бирюлев ден #birulevo #бирюлево,2
#бирюлево #birulevo,2
#бирюлево,2
 на фон событ в #бирюлево предлага собра в москв на #русскиймарш бол тысчеловек брат  id00,1
на фон событ в #бирюлево предлага собра в москв на #русскиймарш бол тысчеловек брат  id00,1
настоя вход на овощебаз в #бирюлево наход зде,2
уж даж москвич начина понима что косов уж нача     #бирюлево,3
#бирюлево,2
#бирюлево как все начина,2
#бирюлево помн что эт реальност и что мы русск точн так не хот жит #народныйсход нача побед,3
чувак за сек до получен пиздюл из бирюз ег выпуст но назад уж не впуст #бирюлево,3
к мест гибел егор щербаков принесл цвет и свеч зде ег фот #бирюлево,1
ряд с тк бирюз сто черн бмв х к нем регулярн подход омоновц чтот говор водител #бирюлево,2
#топ #жж #бирюлево,2
 #бирюлево,2
#бирюлево,2
слив кремлевск режим нача с #бирюлево в москв,3
егор щербак мы теб помн #бирюлево #разжигай #смерть #путина,1
#бирюлево,2
боровминистр бор #колокольцев есл вы не разберет эт сможет сдела ктот друг #бирюлево,3
колокольц никак переговор с преступник имеет ввид жител #бирюлево #время,3
ментополица дела ошибк он заточ на подавлен оппозиц а эт доведен до отчаян прост люд #бирюлево #бирюлево _,3
путин же приказа до олимпиад кавказц не трога бит можн тольк русск вот омон и стара #бирюлево,3
#бирюлево,2
сильн ветер опрокинул газел чурок в #бирюлево,3
#бирюлево,2
сочинск час на перекрыт манежк все больш похож на час отсчитыва последн минут путинск режим #бирюлево,3
#бирюлево революц ситуац зрееттц бирюз сотнядв парн в спортодежд и девушек ведут себ тих,3
#бирюлево в миров тренд,2
автобус ещ днем нача заворачива мног живущ в #бирюлево сейчас на работ оста,2
#манежка был закрыт ещ в когд шло #бирюлево на основн площад услилен,2
прост убийств москвич был числ поч #мвд бездействова все эт врем и довел народ до активн протестн акц #бирюлево,3
пресссекретар дмитр медведев натал тимаков отказа от официальн комментар о #бирюлево,2
#бирюлево полица закр вход на манежн площад в москв в настоя врем вдол площад выставл металлическ огражден,2
#бирюлево дезинформац сми никт не расход наш прибыва,2
фот из твиттер #бирюлево,2
#бирюлево,2
на циа и ирр взлетел количеств объявлен прод квру в #бирюлево,2
в неб над #бирюлево попрежн круж вертолет #кп,2
у тц бирюз видим футбольн фанат собра в спорткостюм кричат уб #бирюлево,3
социальн напряжен перевод в национальн все эт наканун поднят тариф жкх и стоимост топлив #бирюлево имх,3
#бирюлево,2
больш десятк парн пошл в сторон #бирюлево товарн,2
#бирюлево нерусск уб русск пот русск сожгл магазин нерусск омон свинт русск русск сид нерусск убийц на свобод,3
#народ #октябрь #осень #москва #бирюлево #россия #мысли #вулкан #начало,2
полн хроник событ омон  гражда рф нача фот из твиттер задержан в #бирюлево сейчас,2
и не да бог мусульман в москв на след недел нача широк уличн празднован курбанбайрам будет #бирюлево,3
скор курба байр кстат готовьт москвич с бутылк бензин в бирюлев уж нача празднова #бирюлево,3
бляд эт крыс бол пят секунд слуша невоможн ана росс #бирюлево,3
а облет ли лент фот убит егор щербаков #бирюлево,3
колокольц созва экстрен совещан по повод ситуац в #бирюлево,2
настоя вход на овощебаз в #бирюлево наход зде,2
из #бирюлево атакова овощебаз в бирюлев,2
#бирюлево полиц обьявл тревог но не всех сотрудник вызыва под руж,2
#бирюлево,2
пок в #калуга эстафет в #бирюлево гром овощебаз с мигрант вся полиц на ног и у нас и в москв,2
#бирюлево одн из тысяч болев точек сегодняшн росс,3
сил мо мобилиз в течен час возможн остановк движен электропоезд просьб всех пользова личн авт #бирюлево,2
