user,tweet,sentiment
Mir24TV,на московск рынк «#садовод» нача антимигрантск рейд … #news #novosti #новости #москва #мигранты,3
Mir24TV,#путин призва российск мусульма помога мигрант с адаптац … #news #новости #novosti #мигранты,1
Mir24TV,#фмс создаст  спеццентр для мигрант … #news #новости #мигранты #снг,2
Mir24TV,#собянин предлож взима с мигрант плат за въезд в росс … #news #novosti #мигранты #снг,2
Mir24TV,блогер рассказа поч в #бирюлево нет профилактик преступлен  … #news #novosti #москва #мигранты,3
Mir24TV,на юг москв полиц задержа почт  мигрант … #news #новости #снг #мигранты #москва,2
Mir24TV,#собянин рассказа о причин погром в западн #бирюлево … #news #новости #москва #мигранты #снг,2
Mir24TV,в #бирюлево уб гражданин узбекиста … #news #новости #жесть #узбекистан #снг #мигранты,3
Mir24TV,в москв задержа разб бит чуж машин #мигранты … #news #novosti #москва #жесть,2
Mir24TV,полиц москв назва им предполага убийц егор щербаков … #news #щербаков #мигранты #бирюлево,2
Mir24TV,#бастрыкин приеха на овощебаз в #бирюлево … #news #новости #novosti #мигранты,2
Mir24TV,глав московск полиц увол начальник #овд западн #бирюлево … #news #щербаков #novosti #мигранты,2
Mir24TV,омбудсм лукин поддержа введен визов режим со стран #снг … #news #новости #бирюлево #содружество #мигранты,2
Mir24TV,#мвд объясн драк мигрант на северовосток москв конфликт с работодател … #news #бирюлево #мигранты,2
krgzr,#бирюлево #пражская продолжа винтаж   ,3
krgzr,#бирюлево #пражская трансляц   ,2
yuracei,видеотрансляц с улиц #бирюлево …  сейчас с перекрестк медынск и булатниковск  # & & & & …,2
yuracei,омон охраня крупн в европ покровск овощн баз с сотн мигрант жител #бирюлево протест ,2
MichaelAndreev,беспорядк в бирюлев    видео! с нескольк камер ##бирюлев #москва,3
I_M_HO,предлага освобод овощебаз в #бирюлево отда под офис   бесплатн ,1
vdovigor,#бирюлево    #ru,2
correktor,идут к овощебаз #бирюлево    ,2
correktor,прям эфир из #бирюлево #live  ,2
EP_IKS, уб русск мирза стал почетн гост открыт    в дагестан #бирюлево #волгоград ,3
mynameisphilipp,увол глав отдел фмс по юа москв е зам а такж начальник отделен #бирюлево,2
mynameisphilipp,предполага убийц егор щербаков на то сам овощн баз в #бирюлево  __ _… ,3
mynameisphilipp,нача химк правд не #бирюлево  _ на мкад кавказц разб бит  ,3
mynameisphilipp,два москвич и жител подмосков стал фигурант дел о погром #бирюлево,2
mynameisphilipp,госдум окруж полиц сто автозак омон бо #бирюлево ,3
mynameisphilipp,манежк то перекрыт спрос поч полицейск спецмероприят да изз #бирюлево же ,3
mynameisphilipp,штурм бирюз шокфот #бирюлево  ,3
mynameisphilipp,больш год назад жител #бирюлево прос убра из район баз но им отказа ,3
mynameisphilipp,огогошеньк #бирюлево  _ оборот #овощебаза в ден составля  миллиард рубл эт сам крупн баз в росс,3
mynameisphilipp,#винтаж #ягуар #телочка #бирюлево вчерашн ,3
mynameisphilipp,на уж закрыт овощн баз в #бирюлево задержа почт  человек мигрант,2
mynameisphilipp,рсн задержа человек похож на подозрева в убийств егор щебаков #бирюлево,2
mynameisphilipp,чувак за  сек до получен пиздюл из бирюз ег выпуст но назад уж не впуст #бирюлево ,3
mynameisphilipp,переворачиван газел в #бирюлево ,3
mynameisphilipp,сегодн в #бирюлево один местн жител назва эт овощебаз черкизон говор там все черн и можн наркот доста,3
mynameisphilipp,а вы знает что через два дня курбанбайр ахахах #бирюлево,3
mynameisphilipp,был бы прикольн есл бы сегодн в #бирюлево приеха колокольц я дума ем бы сказа тож сам что и на манежк в  пиздабол,3
mynameisphilipp,омон сегодн закидыва мусорк а такж камн палк и бутылк #народныйсход #бирюлево ,3
mynameisphilipp,каратист бьют движущ огнеопасн грузовик #народныйсход #бирюлево ,3
mynameisphilipp,а когд ворот овощебаз отрыва тож чут сво камн не зашибл в общ какт так #народныйсход #бирюлево,3
mynameisphilipp,а вечер кстат когд когот свинт там вдогонк стекля бутылк кинул был бы пиздец есл бы в свинчен попа #бирюлево,3
mynameisphilipp,омоновц разгоня участник сход дубинк #народныйсход #бирюлево ,3
mynameisphilipp,а такж окровавлен мужчин #народныйсход #бирюлево ,3
mynameisphilipp,снима вот мусор сегодн извин #народныйсход #бирюлево ,3
mynameisphilipp,под конец задержива кстат в основн пьян  один там чтот зажеч успел #народныйсход #бирюлево,2
mynameisphilipp,вот эт я уста тольк ед отсюд на автобус тут разговор что ег полтор час ждал движен перекрыва #народныйсход #бирюлево,3
mynameisphilipp,десятк задержа  #народныйсход #бирюлево,3
mynameisphilipp,говор девушк винт с применен дубинок #народныйсход #бирюлево,3
mynameisphilipp,пар человек забра щас выталкива толп #народныйсход #бирюлево,3
mynameisphilipp,винтаж с дубинк #народныйсход #бирюлево,3
mynameisphilipp,толп потихонечк рассасыва #народныйсход #бирюлево,1
mynameisphilipp,подвип нич не лома мы же не хач не беспредельщик #народныйсход #бирюлево,1
mynameisphilipp,омон зашел на баз  я так понима эт побед гражда задержан нет #народныйсход #бирюлево,1
mynameisphilipp,вышл с баз через оцеплен омон аплодисмент #народныйсход #бирюлево сканд росс омон полн,1
mynameisphilipp,винтаж снов нет автобус с омон мим проеха и все щас по баз кудат ид я хз #народныйсход #бирюлево,1
mynameisphilipp,полиц приеха на баз #народныйсход #бирюлево,2
mynameisphilipp,омон и полиц едет #народныйсход #бирюлево,2
mynameisphilipp,омон и полиц нет #народныйсход #бирюлево,2
mynameisphilipp,на баз ник автомат с кол взлома #народныйсход #бирюлево,3
mynameisphilipp,прошл на баз нача погр #народныйсход #бирюлево,3
mynameisphilipp,полетел камн за оград #народныйсход #бирюлево,3
mynameisphilipp,открыва скандир у ворот #народныйсход #бирюлево,3
mynameisphilipp,взял камн бутылк  #народныйсход #бирюлево,3
mynameisphilipp,ворот закрыт щас штурм будет поход #народныйсход #бирюлево,3
mynameisphilipp,подход к баз #народныйсход #бирюлево,2
mynameisphilipp,уход с проезж част  ид нах я теб не вер #народныйсход #бирюлево винтаж нет пок,3
mynameisphilipp,автозак едет щас винтаж будет #народныйсход #бирюлево,3
mynameisphilipp,перекр ещ одн дорог #народныйсход #бирюлево,2
mynameisphilipp,толп идет бьет машин #народныйсход #бирюлево,3
mynameisphilipp,полиц наблюда и практическ провожа толп от тц #народныйсход #бирюлево,2
mynameisphilipp,#народныйсход #бирюлево ,2
mynameisphilipp,молн толп пошл на овощн баз #народныйсход #бирюлево,2
mynameisphilipp,граждан активн руга собянин и полиц котор покрыва приезж #народныйсход #бирюлево,3
mynameisphilipp,ктот в толп у овощебаз полиц с автомат #народныйсход #бирюлево,2
mynameisphilipp,а как стат вандализм за помойк — шут в толп видим не зна про болотн дел #народныйсход #бирюлево,3
mynameisphilipp,щас все на овощн баз поход пойдут в толп призыв #народныйсход #бирюлево эт баз  оплот приезж,3
mynameisphilipp,ког он прос отпуст я хз #народныйсход #бирюлево щас врод все тих,1
mynameisphilipp,столкновен был ал  ма дубинк вот эт все #народныйсход #бирюлево,3
mynameisphilipp,один за всех и все за одн #народныйсход #бирюлево,1
mynameisphilipp,мусорн бак больш перекр дорог кида палк и ид #народныйсход #бирюлево,3
mynameisphilipp,полиц прос не кида не поддава на проаокац и разойт по дом #народныйсход #бирюлево,1
mynameisphilipp,грузовик перевернул посред улиц #народныйсход #бирюлево,3
mynameisphilipp,кида камн урн с омоновц снял шлем #народныйсход #бирюлево,3
mynameisphilipp,у омоновц лиц в кров #народныйсход #бирюлево,3
mynameisphilipp,у мужчин кров на лиц #народныйсход #бирюлево,3
mynameisphilipp,перекр дорог не пуска автозак кричат выпуска омон разгоня с дубинк #народныйсход #бирюлево,3
mynameisphilipp,молн дубинк в ход пошл #народныйсход #бирюлево,3
mynameisphilipp,граждан потолка с омон врод нич страшн #народныйсход #бирюлево,1
mynameisphilipp,винтаж прос освобод площад #народныйсход #бирюлево,3
mynameisphilipp,росс для русск москв для москвич #народныйсход #бирюлево свернул ноут побежа дальш снима,3
mynameisphilipp,добав фот изнутр тц  #народныйсход #бирюлево ,2
mynameisphilipp,скандир закр баз #народныйсход #бирюлево,3
mynameisphilipp,скандир один за всех и все за одн вход в тц оцеп омон #народныйсход #бирюлево,3
mynameisphilipp,националист разгром тц в бирюлев фот   #народныйсход #бирюлево ,3
mynameisphilipp,врод потуш  у тц толп народ все смотр #народныйсход #бирюлево,1
mynameisphilipp,огнетушител чтот тушат #народныйсход #бирюлево,2
mynameisphilipp,разбит вход в тц нерусск охранник сопротивля до последн #народныйсход #бирюлево ,3
mynameisphilipp,разбитыц вход кондиционер дым #народныйсход #бирюлево ,3
mynameisphilipp,вход в тц закр он проб все разб велик и не тольк разб стекл приеха омон #народныйсход #бирюлево,3
mynameisphilipp,разб витрин вопва внутр тут пиздец #народныйсход #бирюлево,3
mynameisphilipp,изтц на тачк в испуг уеха дво иностранц #народныйсход #бирюлево,3
mynameisphilipp,#народныйсход #бирюлево ,2
mynameisphilipp,петард взорва толп идет в тц бирюз сканлиру русск вперед #народныйсход #бирюлево,3
mynameisphilipp,толп кудат пошл кто то крикнул зачища район #народныйсход #бирюлево обсужда тут всерашн перекрыт дорог,3
mynameisphilipp,нам не глав управ а собянин нуж — в толп #народныйсход #бирюлево,3
mynameisphilipp,гоаор в толп глав управ #народныйсход #бирюлево,2
mynameisphilipp,так толп кудат пошл #народныйсход #бирюлево,2
mynameisphilipp,бирюлев не кавказ #народныйсход #бирюлево,3
mynameisphilipp,русск вперед и выселя скандир #народныйсход #бирюлево,3
mynameisphilipp,#народныйсход #бирюлево ,2
mynameisphilipp,беловпоткин в сам толп оказыва #народныйсход #бирюлево ,2
mynameisphilipp,тут нача листовк раздавт как то #народныйсход #бирюлево,2
mynameisphilipp,анук давайк уебыва отсюд росс для русс москв для москвич аплодисмент #народныйсход #бирюлево,3
mynameisphilipp,тут мам с коляск пенсионер и тд сход националист эт назва нельз #народныйсход #бирюлево,1
mynameisphilipp,человек  тут наверн #народныйсход #бирюлево может и больш,2
mynameisphilipp,хот одн участков покаж нам в глаз #народныйсход #бирюлево,3
mynameisphilipp,#народныйсход #бирюлево ,2
mynameisphilipp,люд обща кричат и хлопа услыша выгор отсюд хач и закройт овощн баз полиц наблюда #народныйсход #бирюлево,2
mynameisphilipp,мамонт и цвет #народныйсход #бирюлево ,2
mynameisphilipp,виж аркад мамонтов #народныйсход #бирюлево,2
mynameisphilipp,ог тут народ #народныйсход #бирюлево ,1
lifenews_ru,на мест закрыт сельскохозяйствен точек постро торгов центр и парковк #бирюлево ,2
lifenews_ru,за помощ в поимк убийц егор щербаков полиц заплат  миллион рубл #! #щербаков #зейналов #бирюлево,2
lifenews_ru,"#жириновский: не исключа что теракт в волгоград  мест за #бирюлево"". … #! #волгоград #теракт",3
lifenews_ru,"александр #пыпин: сам популярн район сред мигрант в москв #бирюлево, #измайлово, #гольяново"". #москва ",2
lifenews_ru,"мат чурилов прос власт росс разобра в дел #бирюлево"" #! #чурилов",2
lifenews_ru,"тимур #мусикаев, активн участник беспорядк в #бирюлево, задержа до  декабр  год",2
lifenews_ru,адвокат орха зейналов #чикат тож защища в суд #зейналов #бирюлево ,3
lifenews_ru,в бак счита неадекватн действ росс в отношен орха зейналов #бирюлево #зейналов,3
lifenews_ru,втор участник беспорядк на юг москв тимур мусикаев арестова на  месяц #бирюлево #мусикаев ,2
lifenews_ru,орха #зейналов не соглас в суд с обвинен в убийств и тепер отрица сво вин #бирюлево ,2
lifenews_ru,орха зейналов защища в суд  адвокат #бирюлево ,2
lifenews_ru,суд орха #зейналов задержа до  декабр  год #бирюлево ,2
lifenews_ru,орха зейналов привезл в суд ещ в  утр #суд #зейналов #бирюлево ,2
lifenews_ru,суд удовлетвор ходатайств магомед чурилов #суд #чурилов #бирюлево ,2
lifenews_ru,отец орха зейналов я не вер что так могл случ #lifenews #зейналов #бирюлево ,3
lifenews_ru,мат орха зейналов я поконч с соб есл сын осуд … подробн #!#зейнал #бирюлево,3
lifenews_ru,орха #зейналов доставл в зал суд #бирюлево,2
lifenews_ru,"магомед #чурилов, задержа на овощебаз в #бирюлево, приб в зал суд по дел убийств зейналов москвич егор щербаков",2
lifenews_ru,мат убийц егор щербаков я поконч с соб есл сын осуд #! #бирюлево #зейналов ,3
lifenews_ru,через пар минут прям эфир из суд где будет рассмотр вопрос об арест зейналов смотр на # #lifenews #бирюлево,2
lifenews_ru,#срочно: полиц задержа трет фигурант дел о погром в #бирюлево,2
lifenews_ru,сотрудник полиц задержа  нелегальн мигрант на юг москв #! #бирюлево,2
lifenews_ru,#срочно: сотрудник полиц задержа в район #бирюлево  мигрант ,2
lifenews_ru,сегодн суд определ судьб орха зейналов котор подозрева в убийств егор щербаков в #бирюлево ,2
lifenews_ru,хозяев квартир в котор скрыва зейнал рассказа о происход #! #бирюлево,2
lifenews_ru,орхан зейналов гроз от  до  лет лишен свободн #бирюлево ,3
lifenews_ru,#срочно: в #бирюлево сильн изб мужчин и женщин азиатск внешност,3
lifenews_ru,алиасхаб #гаджиев: я не знал убийц и на овощебаз ег не видел #бирюлево ,2
lifenews_ru,руководств баз в #бирюлево подозрева в организац нелегальн миграц #! #новости ,3
lifenews_ru,орха зейнал утвержда что защища и не хотел ник убивать#бирюлев ,1
lifenews_ru,серг собянин выраз соболезнован родн егор щербаков #! #щербаков #бирюлево #новости,3
lifenews_ru,возбужд уголовн дел на руководств за нов черемушк #! #новости #бирюлево #lifenews,3
lifenews_ru,#срочно: задержа магомед чурил директор овощебаз виктор котелевск служб безопасн алескап гадж объявл в розыск #бирюлево,2
lifenews_ru,#срочно: задержа председател совет директор за нов черемушк магомед чурил генеральн директор овощн баз в #бирюлево.,2
lifenews_ru,овощебаз в #бирюлево продолжа работать! снов ведет разгрузк фур ,3
lifenews_ru,арендатор из #бирюлево переезжа в #хлебниково.,2
lifenews_ru,официальн признан орха зейналов в убийств жител #бирюлево егор щербаков … подробн #!,3
lifenews_ru,орха #зейналов официальн призна в убийств жител #бирюлево егор щербаков #lifenews #новости ,3
lifenews_ru,у пос хлебников произошел транспортн коллапс изз фур перееха из #бирюлевоскоро в прям эфир #,3
lifenews_ru,#срочно: чертановск суд останов работ овощебаз в #бирюлево за несоблюден санитарн норм,3
lifenews_ru,#срочно: подозрева в убийств егор щербаков ран отсидел год за #дтп. #бирюлево,3
lifenews_ru,#срочно: подозрева в убийств егор щербаков уж имеет судим #бирюлево,3
lifenews_ru,на овощебаз в #бирюлево обнаруж возбудител туберкулез,3
lifenews_ru,у предполага убийц егор щербаков нет российск паспорт #бирюлево #зейналов ,3
lifenews_ru,в  на станц #метро пражск планир сбор сочувств егор щербаков #бирюлево,1
lifenews_ru,#срочно: зейналов достав для дач показан в москв на вертолете# #бирюлево,2
lifenews_ru,#срочно: предполага убийц егор щербаков орха зейнал задержа в коломне#бирюлев,2
lifenews_ru,на овощебаз в #бирюлево ищут оруд убийств егор щербакова#!,2
lifenews_ru,по слов знаком орха зейнал всегд нос с соб нож и пил до упаду#убийств #бирюлево ,3
lifenews_ru,арендатор бастрыкин мен выслуша и сказа что в течен ух дне #овощебаза будет закрыта#бирюлев ,2
lifenews_ru,#срочно: на овощебаз в #бирюлево приеха представител ск рф александр бастрыкин,2
lifenews_ru,назва перв фигурант уголовн дел по погром в #бирюлевоhttp://lifenews.ru/#!news/121048;,2
lifenews_ru,александр бастрыкин приб в западн #бирюлево.  через нескольк минут в эфир #,2
lifenews_ru,последн раз орха зейналов видел в понедельник  октябр окол  в район #бирюлево,2
lifenews_ru,#срочно: анатол якунин увол начальник овд западн #бирюлево,2
lifenews_ru,по слов знаком орха зейналов он вел себ неадекватн будуч в состоян алкогольн опьянения#бирюлев #lifenews,3
lifenews_ru,убийц егор щербаков опозна ег сосед по комнат #! #бирюлево ,2
lifenews_ru,#эксклюзив: в  в эфир #lifenews знаком подозрева в убийств егор щербаковаподключа ##бирюлев,2
lifenews_ru,рабоч групп обществен палат и #мосгордума обсуд ситуац в западн #бирюлево#lifenews #новости,2
lifenews_ru,кандальн овощн баз в #бирюлево закроют по требован роспотребнадзор #!,1
lifenews_ru,никола азар я бы попрос жител #бирюлево успоко и не меша полиц,2
lifenews_ru,"эдуард лимон эт естествен что люд попыта поучаствова в событ в #бирюлево""http://lifenews.ru/#watch-live; ",2
lifenews_ru,на станц бирюлевотоварн собра местн жител и сотрудник полиции#бирюлев ,2
lifenews_ru,#срочно на станц #бирюлево-товарная собра местн жител и сотрудник полиц,2
lifenews_ru,каромат шарип трудов виз необходима! мы потеря сотн тысяч таджикистанск гражда #бирюлево ,3
lifenews_ru,виктор легавин коррупц у нас нет эт событ могл произойт в люб районе##бирюлев ,1
lifenews_ru,следствен комитет даст жестк оценк чиновник из #бирюлево#lifenews #новости,3
lifenews_ru,магомед талбо поч изз одн человек дела вывод о миллион ! найт ег и повес  #бирюлево,3
lifenews_ru,магомед толбо полиц явля инициатор случ беспорядков##бирюлев ,3
lifenews_ru,депутат госдум шамса сарал национальн проблем не уделя должн вниман #бирюлево ,3
lifenews_ru,скор в эфир магомед толбо почетн президент за нов черемушк прокомментир ситуац в #бирюлево #,2
lifenews_ru,в #бирюлево продолжа задержан  #lifenews ,3
lifenews_ru,полиц провод масштабн проверк в район #бирюлево ,2
lifenews_ru,посл погром в бирюлев под страж оста  участник беспорядк _…подробнее#!#бирюлев,2
lifenews_ru,#срочно:  человек задержа в западн #бирюлево. на овощебаз нашл машин полн оруж,3
lifenews_ru,больш част задержа при беспорядк в #бирюлево был отпущена#,1
lifenews_ru,владимир шапошник у преступн нет национальности#бирюлев #lifenews ,2
lifenews_ru,знаком егор щербаков сем егор прот массов беспорядк #москва #бирюлево ,1
lifenews_ru,#жириновский: десятилет вырабатыва негативн отношен к нацменьшинств #бирюлево ,3
lifenews_ru,в район #бирюлево проход массов проверк документов#,2
lifenews_ru,окол  полицейск приеха на овощебаз котор требова закр митинг #! #бирюлево,2
lifenews_ru,#срочно  полицейск приб на овощебаз в бирюлев #бирюлево #lifenews,2
lifenews_ru,интерв с работник торгов центр бирюз смотр # #lifenews #бирюлево,2
lifenews_ru,полиц информир родн убит в бирюлев о ход расследован #! #москва #бирюлево,2
lifenews_ru, задержа на юг москв будут допрош по дел о хулиганств #! #новости #бирюлево,2
lifenews_ru,вячесла гриб в так город как москв над в нескольк раз увелич количеств участковых#бирюлев ,2
lifenews_ru,посл беспорядк в западн #бирюлево в больниц обрат  человек #!,2
lifenews_ru,полиц полност контролир ситуац в бирюлев план вулка отмен #бирюлево,1
lifenews_ru,что сейчас происход в #бирюлево. смотр в эфир #,2
lifenews_ru,полиц установл круг лиц причастн к убийств егор щербакова#бирюлев ,2
lifenews_ru,конфликт в #бирюлево больш не наблюда ,1
lifenews_ru,полиц взял под сво контрол ситуац в #бирюлево ,1
lifenews_ru,фмс проверя овощебаз в #бирюлево  недел назад и был выявл  нарушител миграцион законодательств,2
lifenews_ru,по неподтвержден дан убийц егор щербаков явля торговец шаурм в район #бирюлево ,2
lifenews_ru,макс шевченк прокомментирова сегодняшн событ в бирюлев нич не говор нам о том что полиц занима дел #бирюлево,3
lifenews_ru,пострада омоновец тольк в мо групп пострада тро сотрудник #бирюлево #lifenews #омон,3
lifenews_ru,помощник депутат госдум рамин #гасымов: нужн профилактическ меры! #бирюлево #москва ,3
lifenews_ru, сотрудник омон ран при разгон беспорядк в #бирюлево #! #москва #омон,3
lifenews_ru,мы продолжа освеща событ в #бирюлево. включа прям эфир прям сейчас # ,2
lifenews_ru,организац гражданск безопасн владимир #химаныч: нужн огранич безвизов въезд в росс #россия #бирюлево #москва,3
lifenews_ru,министр владимир #колокольцев сво коллег есл вы не разберет эт сможет сдела ктот друг #бирюлево ,3
BorisALV,бирюлев ден  #birulevo #бирюлево  ,2
BorisALV,#бирюлево #birulevo ,2
BorisALV,#бирюлево ,2
BorisALV, __  кто уб егор щербаков что случ  в #бирюлево: ,3
BorisALV,задержан убийц егор щербаков   #бирюлево,3
BorisALV,кадр задержан подозрева в убийств егор щербаков … … #бирюлево ,2
BorisALV,в москвечеченск #омон подавля выступлен русск москвич дубинк #бирюлево ,3
BorisALV,…#бирюлев,2
BorisALV,кто уб егор щербаков что случ  в #бирюлево: ,3
BorisALV,"#бирюлево, голос за визов реж со стран средн аз и закавказья! проект __… … ил ",3
BorisALV,приятн видет покорежен мусор _ #бирюлево ,1
BorisALV,#бирюлево у боров щек то от досад !,1
BorisALV,оукб #спартак в #бирюлево ,2
BorisALV, #бирюлево ,2
BorisALV,#бирюлево ,2
BorisALV,_ нов убийств в бирюлев протест продолжа очередн убийств русск кавказц в #бирюлево,3
BorisALV,#бирюлево #москва  да но зарабатыва жыд а расплачива русск,3
BorisALV,"#мониторингопрф #бирюлево “ совещан с участ член #опрф, с местн жител и префект юа  рептил чешут гривы!",3
BorisALV,"#мониторингопрф #бирюлево “ совещан с участ член #опрф, с местн жител и префект юа ”",2
BorisALV,чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #иркустк #томск #мурманск #североморск ,3
BorisALV,чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #екатерибург #новосибирск #красноярск  ,3
BorisALV,чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #тула #тамбов #дождь #саратов #тверь ,3
BorisALV,чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #ростов #питер #хабаровск #владивосток ,3
BorisALV,чеченск #омон подавля выступлен русск москвич дубинк #бирюлево #саратов #астрахань #дождь #самара #пенза ,3
BorisALV,#бирюлево ,2
BorisALV,омон окружа площадк перед тц бирюз прос люд разойт #бирюлево  мусорок _ тво коллег пыжат,2
BorisALV,в #бирюлево: ,2
BorisALV,«доступное» жил будет доступн тольк для полицейск   #бирюлево,3
BorisALV,#бирюлево  фот виде  _& … … ,2
BorisALV,#ff_ru #бирюлёво #бирюлево ,2
BorisALV,инициативн групп в #бирюлево составля список требован к власт ,2
BorisALV,бирюлев ввод танк  сейчас в колв  шт  на ттквида в #бирюлево мчит  #смерть #путину !,3
BorisALV,госдум окруж полиц сто автозак омон бо #бирюлево ,3
BorisALV,бирюлев ден  #birulevo #бирюлево  ,2
BorisALV,#бирюлево #birulevo ,2
BorisALV,#бирюлево ,2
BorisALV, на фон событ в #бирюлево предлага собра в москв на #русскиймарш бол тысчеловек брат  !!!,1
BorisALV,на фон событ в #бирюлево предлага собра в москв на #русскиймарш бол тысчеловек брат  !!!,1
BorisALV,настоя вход на овощебаз в #бирюлево наход здесь! ,2
BorisALV,уж даж москвич начина понима что косов уж нача     #… … … #бирюлево,3
BorisALV,… … #бирюлево,2
BorisALV,#бирюлево как все начина ,2
BorisALV,#бирюлево помн что эт реальност и что мы русск точн так не хот жит #народныйсход нача победы! ,3
BorisALV,чувак за  сек до получен пиздюл из бирюз ег выпуст но назад уж не впуст #бирюлево ,3
